,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,liked/disliked
54,0.462,0.371,6.0,-11.604,0.0,0.0988,0.794,0.118,0.124,0.187,99.662,4.0,1
55,0.729,0.614,1.0,-6.493,1.0,0.0379,0.562,0.0,0.12,0.563,96.992,4.0,1
56,0.439,0.445,2.0,-6.972,1.0,0.0383,0.692,0.0,0.0605,0.163,77.198,4.0,1
57,0.679,0.563,1.0,-7.529,0.0,0.0448,0.69,0.0,0.392,0.479,81.987,4.0,1
58,0.581,0.585,1.0,-1.87,1.0,0.369,0.27,6.48e-05,0.179,0.63,67.443,3.0,1
59,0.479,0.436,8.0,-8.58,1.0,0.0271,0.209,0.0,0.107,0.403,140.015,4.0,1
60,0.626,0.522,7.0,-5.857,1.0,0.0317,0.686,0.0,0.41,0.628,118.001,4.0,1
61,0.62,0.502,3.0,-8.375,1.0,0.0303,0.841,0.00051,0.1,0.302,119.959,4.0,1
62,0.527,0.835,6.0,-5.298,1.0,0.0433,0.0166,0.0,0.249,0.654,125.983,4.0,1
63,0.259,0.437,11.0,-6.589,0.0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,4.0,1
64,0.665,0.539,11.0,-7.213,0.0,0.0474,0.825,5.85e-06,0.121,0.368,110.101,4.0,1
65,0.633,0.476,10.0,-11.502,1.0,0.0265,0.606,0.00147,0.179,0.284,111.964,4.0,1
66,0.541,0.512,9.0,-10.203,1.0,0.0291,0.74,0.000528,0.162,0.203,120.036,4.0,1
67,0.495,0.556,3.0,-7.49,1.0,0.041,0.638,0.0,0.123,0.366,159.996,4.0,1
68,0.7,0.555,0.0,-7.871,1.0,0.0385,0.51,0.0,0.113,0.396,137.918,3.0,1
69,0.413,0.708,9.0,-9.096,1.0,0.0688,0.344,3.25e-05,0.289,0.49,86.87,4.0,1
70,0.64,0.488,7.0,-7.625,1.0,0.0258,0.684,3.81e-06,0.146,0.609,82.986,4.0,1
71,0.587,0.769,11.0,-4.193,0.0,0.034,0.0328,0.0,0.103,0.668,129.013,4.0,1
72,0.633,0.592,0.0,-7.245,0.0,0.112,0.197,0.0,0.099,0.679,90.066,4.0,1
73,0.605,0.822,0.0,-4.833,1.0,0.0438,0.00671,0.134,0.147,0.288,167.997,4.0,1
74,0.702,0.243,5.0,-11.675,1.0,0.0432,0.868,6.95e-06,0.177,0.495,95.009,4.0,1
75,0.652,0.557,1.0,-5.714,0.0,0.0318,0.74,0.0,0.124,0.483,150.073,4.0,1
76,0.59,0.632,7.0,-7.996,1.0,0.0376,0.301,0.0,0.169,0.345,110.0,4.0,1
77,0.687,0.281,2.0,-14.634,1.0,0.0346,0.897,1.91e-06,0.0722,0.318,120.06,4.0,1
78,0.526,0.52,6.0,-7.985,0.0,0.0569,0.435,0.0,0.197,0.13,149.119,4.0,1
79,0.706,0.527,5.0,-8.706,0.0,0.0269,0.139,0.000169,0.112,0.144,103.008,4.0,1
80,0.685,0.755,1.0,-6.231,0.0,0.0912,0.727,0.0,0.271,0.889,89.985,4.0,1
81,0.558,0.916,1.0,-3.145,0.0,0.0839,0.0278,0.0,0.0296,0.85,142.984,4.0,1
82,0.762,0.912,5.0,-4.724,0.0,0.216,0.499,0.0,0.413,0.449,148.023,4.0,1
83,0.573,0.784,2.0,-5.359,0.0,0.0293,0.61,3.89e-05,0.278,0.655,107.991,4.0,1
84,0.564,0.627,3.0,-10.002,0.0,0.0853,0.851,0.00338,0.316,0.842,76.384,4.0,1
85,0.727,0.739,8.0,-3.805,1.0,0.0411,0.365,0.00137,0.161,0.533,93.005,4.0,1
86,0.617,0.842,10.0,-4.062,0.0,0.034,0.00117,0.261,0.131,0.36,127.955,4.0,1
1,0.434,0.224,4.0,-9.813,1.0,0.0313,0.91,0.0,0.0964,0.385,138.984,4.0,0
2,0.645,0.314,1.0,-10.601,1.0,0.0326,0.831,0.000332,0.109,0.243,128.937,3.0,0
3,0.775,0.298,4.0,-9.94,1.0,0.0321,0.869,0.0,0.11,0.446,104.938,1.0,0
4,0.695,0.327,9.0,-11.127,0.0,0.0384,0.832,0.0,0.0857,0.487,111.057,3.0,0
5,0.583,0.395,9.0,-8.449,1.0,0.032,0.872,0.0,0.101,0.505,89.667,4.0,0
6,0.583,0.642,4.0,-7.777,1.0,0.0324,0.506,2.89e-06,0.0905,0.272,105.018,4.0,0
7,0.433,0.507,0.0,-7.437,1.0,0.0301,0.702,0.000403,0.126,0.336,119.767,1.0,0
8,0.614,0.408,4.0,-8.163,1.0,0.0272,0.802,0.0,0.111,0.466,99.9,4.0,0
9,0.54,0.296,2.0,-13.839,1.0,0.0334,0.867,0.00146,0.125,0.286,144.896,3.0,0
10,0.3,0.312,8.0,-8.221,0.0,0.0338,0.696,0.0,0.107,0.397,74.393,3.0,0
11,0.666,0.517,11.0,-6.594,1.0,0.0281,0.755,0.0,0.132,0.486,120.035,4.0,0
12,0.498,0.664,6.0,-5.572,1.0,0.0264,0.016,0.0,0.104,0.416,140.029,4.0,0
13,0.379,0.383,0.0,-14.387,1.0,0.0328,0.387,3.46e-06,0.0552,0.287,153.08,3.0,0
14,0.544,0.642,5.0,-6.566,1.0,0.0415,0.109,0.0,0.348,0.291,133.828,4.0,0
15,0.395,0.263,0.0,-8.615,0.0,0.0288,0.841,0.0,0.123,0.438,99.879,3.0,0
16,0.799,0.927,10.0,-6.829,0.0,0.134,0.195,0.00592,0.052,0.941,159.956,4.0,0
17,0.698,0.635,3.0,-5.675,1.0,0.0604,0.0804,0.0,0.0806,0.869,172.412,3.0,0
18,0.599,0.649,5.0,-11.115,0.0,0.188,0.129,0.0,0.289,0.952,185.869,3.0,0
19,0.538,0.845,5.0,-1.317,0.0,0.0789,0.365,0.000169,0.39,0.782,131.79,4.0,0
20,0.634,0.796,2.0,-5.727,0.0,0.0707,0.297,0.0,0.284,0.963,74.785,4.0,0
21,0.707,0.522,2.0,-9.212,1.0,0.0366,0.542,0.0,0.358,0.476,91.017,4.0,0
22,0.863,0.863,1.0,-6.912,1.0,0.0415,0.0763,0.00325,0.0688,0.936,109.983,3.0,0
23,0.742,0.845,6.0,-8.369,1.0,0.175,0.175,0.0,0.043,0.841,77.525,4.0,0
24,0.843,0.699,9.0,-6.973,1.0,0.0479,0.425,0.000106,0.134,0.547,105.983,4.0,0
25,0.511,0.633,6.0,-8.645,0.0,0.0415,0.601,3.03e-05,0.106,0.482,87.91,4.0,0
26,0.806,0.771,11.0,-7.046,1.0,0.247,0.722,0.0,0.0683,0.905,65.801,4.0,0
27,0.844,0.875,4.0,-4.526,0.0,0.136,0.617,4.59e-06,0.0843,0.953,120.003,4.0,0
28,0.624,0.832,7.0,-5.557,1.0,0.216,0.117,7.35e-05,0.0671,0.853,150.013,4.0,0
29,0.578,0.687,4.0,-10.27,0.0,0.138,0.0771,0.0,0.0461,0.678,110.623,4.0,0
30,0.779,0.483,9.0,-6.898,0.0,0.0501,0.845,0.0187,0.18,0.439,125.431,4.0,0
31,0.855,0.386,7.0,-13.675,0.0,0.0995,0.0306,0.0,0.0656,0.444,101.393,4.0,0
32,0.6,0.937,7.0,-6.086,0.0,0.124,0.217,0.000681,0.0833,0.928,67.617,4.0,0
33,0.848,0.893,0.0,-5.118,0.0,0.0961,0.0812,0.000138,0.0647,0.924,116.996,4.0,0
34,0.567,0.765,2.0,-7.468,1.0,0.279,0.147,0.0,0.128,0.587,173.891,4.0,0
35,0.455,0.737,2.0,-3.964,1.0,0.0889,0.77,0.0,0.349,0.804,84.619,4.0,0
36,0.668,0.403,9.0,-12.101,1.0,0.0303,0.906,0.11,0.108,0.423,126.119,4.0,0
37,0.83,0.727,0.0,-12.884,1.0,0.105,0.809,0.125,0.0536,0.772,115.01,4.0,0
38,0.679,0.47,4.0,-11.733,0.0,0.0637,0.877,1.81e-05,0.068,0.904,148.932,3.0,0
39,0.691,0.934,1.0,-3.408,1.0,0.185,0.354,0.000206,0.198,0.832,79.428,4.0,0
40,0.835,0.459,2.0,-8.2,1.0,0.0339,0.643,0.0,0.0773,0.879,112.306,4.0,0
41,0.686,0.738,9.0,-7.521,0.0,0.0431,0.145,0.0,0.0734,0.864,160.002,4.0,0
42,0.733,0.92,9.0,-3.793,0.0,0.0992,0.248,5.83e-06,0.279,0.79,155.045,4.0,0
43,0.902,0.593,7.0,-7.717,1.0,0.129,0.0109,0.00347,0.813,0.604,99.999,4.0,0
44,0.879,0.665,1.0,-5.75,1.0,0.184,0.455,0.006,0.0816,0.404,108.703,3.0,0
45,0.664,0.569,2.0,-8.404,0.0,0.0326,0.662,0.0,0.129,0.434,130.029,4.0,0
46,0.591,0.464,10.0,-12.954,0.0,0.053,0.22,0.00185,0.12,0.521,83.723,4.0,0
47,0.748,0.398,1.0,-7.633,0.0,0.0319,0.83,5.25e-05,0.13,0.833,110.957,4.0,0
48,0.55,0.414,4.0,-11.887,0.0,0.0556,0.557,0.0,0.205,0.782,90.383,3.0,0
49,0.838,0.9,10.0,-4.888,0.0,0.163,0.45,3.86e-06,0.162,0.921,143.971,4.0,0
50,0.884,0.88,0.0,-5.679,0.0,0.146,0.471,0.0,0.0572,0.835,113.272,4.0,0
51,0.7,0.906,1.0,-6.251,0.0,0.153,0.244,5.7e-05,0.0299,0.758,157.839,4.0,0
52,0.74,0.689,10.0,-6.128,0.0,0.0473,0.695,1.46e-05,0.148,0.772,119.983,4.0,0
53,0.333,0.641,1.0,-8.443,0.0,0.0438,0.0749,3.54e-06,0.0789,0.217,129.136,3.0,0
54,0.438,0.811,9.0,-5.945,0.0,0.167,0.326,0.0,0.0727,0.74,76.921,4.0,0
55,0.754,0.488,11.0,-10.944,0.0,0.0769,0.0585,7.36e-06,0.361,0.877,74.996,4.0,0
56,0.747,0.547,7.0,-8.889,1.0,0.0433,0.172,8.31e-06,0.0571,0.61,96.025,4.0,0
57,0.754,0.789,8.0,-5.416,1.0,0.175,0.243,1.82e-06,0.279,0.793,150.043,4.0,0
58,0.628,0.368,4.0,-11.015,1.0,0.0334,0.526,1.36e-05,0.163,0.463,107.048,3.0,0
59,0.739,0.575,10.0,-13.104,0.0,0.483,0.313,0.000636,0.0559,0.692,180.005,3.0,0
60,0.646,0.956,1.0,-6.404,1.0,0.264,0.103,0.0017,0.0841,0.605,79.85,4.0,0
61,0.779,0.894,9.0,-11.063,0.0,0.168,0.125,6.91e-05,0.0519,0.876,82.45,4.0,0
62,0.741,0.752,10.0,-8.867,0.0,0.13,0.747,0.139,0.137,0.801,150.914,4.0,0
63,0.445,0.722,9.0,-6.098,0.0,0.0644,0.239,8.67e-06,0.0678,0.445,79.321,4.0,0
64,0.518,0.653,2.0,-8.946,1.0,0.124,0.377,0.0,0.245,0.541,123.153,4.0,0
65,0.75,0.667,9.0,-5.818,0.0,0.0331,0.397,0.0,0.112,0.607,129.92,4.0,0
66,0.591,0.662,7.0,-9.264,1.0,0.205,0.0627,0.0,0.0857,0.829,98.395,4.0,0
67,0.715,0.638,5.0,-5.577,0.0,0.0382,0.457,0.000194,0.115,0.29,89.976,4.0,0
68,0.816,0.722,7.0,-8.447,1.0,0.29,0.306,1.16e-06,0.062,0.892,80.039,4.0,0
69,0.604,0.78,2.0,-8.133,0.0,0.258,0.163,0.0,0.0706,0.667,105.13,3.0,0
70,0.545,0.71,2.0,-8.384,1.0,0.484,0.55,0.000489,0.19,0.684,150.17,4.0,0
71,0.74,0.914,9.0,-7.747,0.0,0.13,0.386,0.00313,0.0812,0.871,84.023,4.0,0
72,0.702,0.412,1.0,-11.452,1.0,0.0551,0.461,5.45e-06,0.148,0.232,82.049,4.0,0
73,0.651,0.751,4.0,-5.757,1.0,0.159,0.158,0.0,0.063,0.889,187.592,3.0,0
74,0.79,0.467,2.0,-5.321,0.0,0.0387,0.862,2.1e-05,0.188,0.742,119.946,3.0,0
75,0.763,0.544,1.0,-10.399,1.0,0.0481,0.671,0.00863,0.09,0.965,154.637,4.0,0
76,0.749,0.498,9.0,-10.604,0.0,0.104,0.721,1.4e-06,0.115,0.31,159.97,4.0,0
77,0.382,0.801,1.0,-4.309,0.0,0.218,0.487,0.0,0.0978,0.29,167.0,4.0,0
78,0.666,0.741,0.0,-10.85,0.0,0.261,0.224,0.0,0.447,0.916,75.186,4.0,0
79,0.598,0.849,10.0,-8.532,0.0,0.506,0.421,4.19e-06,0.229,0.691,74.906,4.0,0
80,0.429,0.692,4.0,-5.982,0.0,0.129,0.706,9.15e-06,0.0942,0.655,79.218,3.0,0
81,0.674,0.61,7.0,-5.219,1.0,0.0289,0.589,0.000806,0.0927,0.619,129.963,4.0,0
82,0.62,0.662,0.0,-2.159,0.0,0.0317,0.853,0.00014,0.17,0.215,143.89,4.0,0
83,0.697,0.875,8.0,-1.842,1.0,0.0475,0.473,1.68e-06,0.125,0.808,96.013,4.0,0
84,0.574,0.51,4.0,-9.216,0.0,0.0454,0.649,8.8e-06,0.0954,0.321,77.002,4.0,0
