,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,liked/disliked
58,0.695,0.276,1.0,-16.612,1.0,0.0361,0.935,0.00422,0.102,0.398,135.122,4.0,1
59,0.596,0.73,9.0,-4.091,1.0,0.151,0.24,0.0,0.325,0.525,85.979,4.0,1
60,0.647,0.932,11.0,-3.515,1.0,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,4.0,1
61,0.786,0.667,5.0,-8.272,1.0,0.054,0.0112,0.053,0.074,0.688,102.046,4.0,1
62,0.595,0.817,11.0,-6.187,0.0,0.0474,0.000712,0.0386,0.142,0.483,144.961,4.0,1
63,0.558,0.497,8.0,-7.175,1.0,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,4.0,1
64,0.691,0.796,7.0,-4.778,1.0,0.0387,0.0495,0.0,0.333,0.541,127.985,4.0,1
65,0.604,0.72,5.0,-7.276,1.0,0.0603,0.571,1.18e-05,0.12,0.528,130.995,4.0,1
66,0.599,0.505,7.0,-7.662,1.0,0.0393,0.47,0.0,0.165,0.479,121.768,4.0,1
67,0.678,0.819,8.0,-3.306,1.0,0.0313,0.191,0.0,0.159,0.499,90.004,4.0,1
68,0.554,0.606,1.0,-12.312,1.0,0.0722,0.578,0.000183,0.11,0.584,93.922,4.0,1
69,0.563,0.212,9.0,-12.493,1.0,0.0332,0.468,4.03e-06,0.206,0.219,87.939,4.0,1
70,0.696,0.148,5.0,-24.525,1.0,0.0786,0.731,0.576,0.134,0.104,145.103,3.0,1
71,0.536,0.786,1.0,-8.124,1.0,0.0494,0.791,0.142,0.0905,0.339,105.063,3.0,1
72,0.649,0.525,10.0,-11.94,1.0,0.0665,0.245,1.2e-05,0.17,0.494,101.987,4.0,1
73,0.676,0.319,5.0,-9.201,1.0,0.0279,0.783,0.0,0.117,0.565,105.002,4.0,1
74,0.692,0.497,2.0,-7.316,1.0,0.119,0.676,0.0,0.259,0.475,81.308,4.0,1
75,0.726,0.379,11.0,-11.925,1.0,0.103,0.383,0.0,0.0883,0.489,89.978,4.0,1
76,0.385,0.444,8.0,-6.651,0.0,0.0527,0.624,0.0,0.112,0.164,104.566,5.0,1
77,0.662,0.31,1.0,-14.111,0.0,0.0347,0.833,0.861,0.108,0.212,117.965,4.0,1
78,0.82,0.907,7.0,-4.517,1.0,0.0607,0.655,4.85e-05,0.0816,0.834,126.062,4.0,1
79,0.795,0.178,0.0,-11.991,1.0,0.0574,0.607,0.0,0.623,0.608,93.982,4.0,1
80,0.73,0.703,0.0,-5.672,0.0,0.0369,0.109,0.0,0.0657,0.595,138.113,4.0,1
81,0.664,0.595,7.0,-6.05,1.0,0.0329,0.309,0.0,0.318,0.676,91.942,4.0,1
82,0.589,0.227,2.0,-16.67,1.0,0.0498,0.64,0.00469,0.0248,0.182,74.993,4.0,1
83,0.468,0.854,11.0,-3.932,0.0,0.059,0.176,0.0,0.126,0.277,155.867,4.0,1
84,0.37,0.467,2.0,-6.973,1.0,0.0411,0.442,0.0,0.109,0.162,137.796,4.0,1
85,0.603,0.935,1.0,-1.958,0.0,0.0531,0.455,0.0,0.354,0.58,80.95,4.0,1
86,0.68,0.86,1.0,-4.968,0.0,0.0763,0.0105,1.08e-05,0.107,0.357,103.058,4.0,1
87,0.577,0.379,11.0,-13.235,1.0,0.0374,0.909,0.000586,0.0986,0.26,139.585,3.0,1
88,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4.0,1
89,0.532,0.869,11.0,-5.094,1.0,0.172,0.157,0.00508,0.136,0.422,159.803,4.0,1
90,0.732,0.463,11.0,-6.972,0.0,0.0287,0.374,0.0,0.194,0.397,95.971,4.0,1
91,0.726,0.787,4.0,-2.494,1.0,0.0737,0.009,0.0,0.0596,0.888,124.99,4.0,1
92,0.454,0.56,0.0,-6.129,1.0,0.0384,0.643,1.22e-05,0.108,0.803,75.707,4.0,1
93,0.63,0.729,6.0,-4.93,1.0,0.0287,0.123,8e-06,0.0786,0.44,127.919,4.0,1
94,0.345,0.624,4.0,-8.89,0.0,0.0399,0.578,0.00168,0.101,0.514,81.456,5.0,1
95,0.681,0.582,6.0,-7.76,0.0,0.0313,0.22,0.0,0.119,0.221,124.038,4.0,1
96,0.653,0.563,4.0,-5.803,1.0,0.053,0.45,0.0,0.191,0.563,160.903,4.0,1
97,0.722,0.609,7.0,-7.218,1.0,0.0473,0.0233,0.000247,0.113,0.807,154.967,4.0,1
98,0.457,0.451,2.0,-8.009,1.0,0.0279,0.204,0.0,0.149,0.307,149.956,4.0,1
1,0.701,0.252,11.0,-10.844,1.0,0.0477,0.958,1.1e-05,0.0938,0.723,158.087,4.0,1
2,0.319,0.739,0.0,-5.74,1.0,0.272,0.0285,0.0,0.111,0.449,194.169,4.0,1
3,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911,4.0,1
4,0.654,0.711,1.0,-7.437,0.0,0.0383,0.0214,0.00191,0.0903,0.198,127.957,4.0,1
5,0.6,0.663,3.0,-5.802,1.0,0.0477,0.225,0.0,0.119,0.286,121.07,4.0,1
6,0.695,0.727,6.0,-6.274,0.0,0.0323,0.0744,0.000175,0.533,0.864,118.034,4.0,1
7,0.518,0.411,7.0,-8.981,1.0,0.123,0.643,0.0,0.135,0.358,79.73,4.0,1
8,0.605,0.437,2.0,-9.023,1.0,0.0293,0.76,0.00112,0.111,0.301,125.906,4.0,1
9,0.595,0.389,2.0,-9.245,1.0,0.0349,0.418,1.39e-06,0.116,0.4,166.052,4.0,1
10,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4.0,1
11,0.384,0.411,1.0,-9.312,1.0,0.0412,0.937,0.0,0.0873,0.328,169.392,3.0,1
12,0.622,0.216,3.0,-10.892,1.0,0.0285,0.88,0.0048,0.109,0.187,134.191,4.0,1
13,0.751,0.783,4.0,-3.724,1.0,0.0859,0.00379,0.0,0.036,0.816,119.975,4.0,1
14,0.492,0.275,6.0,-13.4,0.0,0.3,0.687,0.0,0.101,0.18,92.6,4.0,1
15,0.628,0.833,11.0,-4.126,0.0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,4.0,1
